id,type,name,subtitle,subtitle_en,city,lat,lng,desc,desc_en,link,linkLabel,linkLabel_en,verified
arboleda,individual,Pablo Arboleda,Consejo Superior de Investigaciones Científicas,Consejo Superior de Investigaciones Científicas,Madrid,40.405,-3.69,"Arquitecto e investigador del patrimonio, Ramón y Cajal en el CSIC; estudia ruinas modernas y patrimonios alternativos mediante foto-ensayos y arte.","Architect and heritage researcher, Ramón y Cajal fellow at CSIC; studies modern ruins and alternative heritage through photo-essays and experimental art.",https://www.ilc.csic.es/es/personal/pablo-arboleda-gamez,Perfil en CSIC,CSIC profile,si
estalella,individual,Adolfo Estalella,"Instituto de Lengua, Literatura y Antropología, CSIC","Instituto de Lengua, Literatura y Antropología, CSIC",Madrid,40.44,-3.7,"Antropólogo urbano / STS. Colaborador de xcol (xcolar), con trabajo sobre infraestructuras y comunes urbanos.","Urban anthropologist / STS scholar. xcol collaborator (xcolar), working on infrastructure and urban commons.",https://xcol.org/xcolar/adolfo-estalella/,perfil en xcol,xcol profile,si
criado,individual,Tomás Criado,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.3925,2.167,"Antropólogo de la ciencia y la tecnología, investigador Ramón y Cajal en CareNet-IN3 (UOC); estudia infraestructuras de cuidado urbano y multiespecie.","STS anthropologist and Ramón y Cajal fellow at CareNet-IN3 (UOC); studies urban care infrastructures, environmental activism and multispecies architecture.",https://recerca.uoc.edu/investigadores/882002/detalle?lang=en,perfil en UOC,UOC profile,si
sola,individual,Belén Sola,Universidad de León,Universidad de León,León,42.602,-5.572,"Investigadora y mediadora entre prácticas artísticas colaborativas, etnografía experimental y pedagogías críticas; codirige el LAAV y enseña en la Universidad de León.","Researcher mediating between collaborative art practices, experimental ethnography and critical pedagogies; co-directs LAAV and teaches at the University of León.",https://belensola.net/c-v/,perfil personal,personal site profile,si
dominguez,individual,Chus Domínguez,Universidad de Cinematografía,Universidad de Cinematografía,Madrid,40.423,-3.71,Creador audiovisual y docente en ECAM y Salamanca; codirige el LAAV con Belén Sola desde 2014; doctor en Bellas Artes (UCM).,Audiovisual creator and educator at ECAM and Salamanca; co-directs LAAV with Belén Sola since 2014; PhD in Fine Arts (UCM).,https://www.chusdominguez.com,perfil personal,personal site profile,si
moscoso,individual,Mafe Moscoso,"BAU · GREDITS, Barcelona","BAU · GREDITS, Barcelona",Barcelona,41.38,2.169,"Doctora en Antropología (FU Berlín), profesora en BAU; trabaja etnografía experimental, memoria, migraciones, metodologías transdisciplinares y prácticas antirracistas y feministas.","PhD in Anthropology (FU Berlin), professor at BAU; works on experimental ethnography, memory, migration, transdisciplinary methods and antiracist feminist practice.",https://research.baued.es/members/mafe-moscoso/,perfil BAU,BAU profile,si
castro,individual,Aurelio Castro,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.396,2.159,"Profesor de Pedagogías Culturales en la UB; investiga cine, entornos de aprendizaje y prácticas artísticas urbanas desde una perspectiva nuevo-materialista.","Assistant Professor of Cultural Pedagogies at UB; researches cinema, learning environments and urban arts-based practices from a new materialist perspective.",https://sira.ub.edu/static/fitxes/BellesArts.html?id=aurelio.castro.ub.edu&lang=es,perfil en UB,UB profile,si
sanchez-fuarros,individual,Iñigo Sánchez-Fuarros,Instituto de Ciencias del Patrimonio,Instituto de Ciencias del Patrimonio,Santiago de Compostela,42.877,-8.541,"Antropólogo en INCIPIT-CSIC; investiga música y sonido como fenómenos socioculturales; coordina XEITO, laboratorio de creación etnográfica, y preside AGANTRO.","Anthropologist at INCIPIT-CSIC; researches music and sound as sociocultural phenomena; coordinates XEITO, an ethnographic creation lab, and chairs AGANTRO.",https://www.incipit.csic.es/es/persona/inigo-sanchez-fuarros,Perfil en INCIPIT,INCIPIT profile,si
marrero-guillamon,individual,Isaac Marrero-Guillamón,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.394,2.162,"Profesor de antropología en la UB, excoordinador del máster en Antropología Visual (Goldsmiths); investiga conflictos espaciales, patrimonio y desplazamiento urbano.","Anthropology professor at UB, former coordinator of Goldsmiths' Visual Anthropology MA; researches spatial conflict, heritage and urban displacement.",https://sira.ub.edu/static/fitxes/GeografiaHistoria.html?id=imarrero.ub.edu&lang=es,perfil en UB,UB profile,si
martinez,individual,Francisco Martínez,Universidad de Murcia,Universidad de Murcia,Murcia,37.9922,-1.1307,"Investigador Ramón y Cajal en la Universidad de Murcia; etnografía del Báltico centrada en infraestructuras, ruinas y objetos cotidianos olvidados.","Ramón y Cajal fellow at the University of Murcia; ethnographer of the Baltic, focused on infrastructures, ruins and overlooked everyday objects.",https://www.fran-martinez.com,perfil personal,personal site profile,si
moreno,individual,Jorge Moreno,Universidad Nacional de Educación a Distancia,Universidad Nacional de Educación a Distancia,Madrid,40.437,-3.706,"Doctor en antropología, cineasta y fotógrafo; investiga violencia, memoria social y usos del cine y la fotografía etnográfica (UNED).","PhD in anthropology, filmmaker and photographer; researches violence, social memory and uses of ethnographic film and photography (UNED).",https://www.uned.es/universidad/docentes/en/filosofia/jorge-moreno-andres.html,Perfil en UNED,Uned profile,si
callen,individual,Blanca Callén,Universitat Autònoma de Barcelona,Universitat Autònoma de Barcelona,Barcelona,41.499,2.105,"Doctora en psicología social; investiga STS, ecofeminismo y diseño para la transformación social; cofundadora de Restarters-BCN, cultura de la reparación.","Social psychology PhD; researches STS, eco-feminism and design for social transformation; co-founder of Restarters-BCN, a repair-culture and open-design initiative.",https://portalrecerca.uab.cat/es/persons/blanca-callén-moreu/,Perfil en UAB,UAB profile,si
rara-troupe,project,La Rara Troupe,LAAV — Laboratorio de Antropología Audiovisual Experimental,LAAV — Laboratorio de Antropología Audiovisual Experimental,León,42.591,-5.556,"Grupo de creación audiovisual sobre salud mental desde 2012 (DEAC MUSAC); une personas con y sin diagnóstico, con afiliación feminista.","Mental-health filmmaking collective since 2012 (DEAC MUSAC), bringing together people with and without diagnoses; feminist-affiliated collective practice.",https://laav.es/en/,laav.es,laav.es,si
xcol-project,project,xcol — An Ethnographic Inventory,Plataforma / red — Madrid (base provisional),Platform / network — Madrid (provisional base),Madrid,40.43,-3.695,"La propia plataforma donde se piensa publicar este mapa: un inventario abierto de invenciones etnográficas (dispositivos de campo, formatos abiertos, prototipos).","The very platform where this map is meant to be published: an open inventory of ethnographic inventions (field devices, open formats, prototypes).",https://xcol.org,xcol.org,xcol.org,si
umbrology,project,Departamento de Umbrología,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.3895,2.171,"Departamento ficticio de estudio de la sombra urbana; une metodologías artísticas, arquitectura colaborativa y estudios ambientales multimodales en Barcelona.","Fictional department studying urban shade; unites artistic methodologies, collaborative architecture and multimodal environmental studies across four Barcelona-based partners.",https://umbrology.org,umbrology,umbrology,si
fernandez,individual,Ion Fernández de las Heras,Universitat Oberta de Catalunya,Universitat Oberta de Catalunya,Barcelona,41.3866,2.1555,Investigador posdoctoral en la UOC (grupo WINE); estudia infraestructuras y entornos construidos desde una perspectiva epistémica y socioambiental.,Postdoctoral researcher at UOC (WINE group); studies infrastructures and built environments from epistemic and socio-environmental perspectives.,https://recerca.uoc.edu/investigadores/1226861/publicaciones?lang=en,perfil en UOC,UOC profile,si
del-moral,individual,Marian del Moral,Universidad de Granada,Universidad de Granada,Granada,37.1827,-3.6056,"Antropóloga de los medios con enfoque de género; investiga cine, autorrepresentación y narrativas audiovisuales interseccionales; fundó AFRICAInEs y Gender Media Lab.","Media anthropologist with a gender focus; researches film, self-representation and intersectional audiovisual storytelling; founded AFRICAInEs and Gender Media Lab.",https://imujer.ugr.es/instituto/organizacion/marian-del-moral-garrido,perfil en UGR,UGR profile,si
lamas,individual,Laura Lamas-Abraira,Consejo Superior de Investigaciones Científicas,Consejo Superior de Investigaciones Científicas,Madrid,40.403,-3.685,"Antropóloga, investigadora Ramón y Cajal en el CSIC (ILLA); estudia familias transnacionales, migración y vulnerabilidad con metodologías participativas y audiovisuales.","Anthropologist, Ramón y Cajal fellow at CSIC (ILLA); researches transnational families, migration and vulnerability through participatory and audiovisual methodologies.",https://www.cchs.csic.es/es/personal/laura-lamas-abraira,Perfil en CSIC,CSIC profile,si
cruzada,individual,Santiago M. Cruzada,Universidad de Sevilla,Universidad de Sevilla,Sevilla,37.380833,-5.991111,"Doctor en antropología ambiental (UPO), profesor en la Universidad de Sevilla; investiga relaciones humano-animales, engaño y naturalismo en contextos multiespecie.","PhD in environmental anthropology (UPO), professor at the University of Seville; researches human-animal relations, deception and naturalism in multispecies contexts.",https://www.us.es/trabaja-en-la-us/directorio/santiago-montero-cruzada,Perfil US,US perfil,si
alvarez,individual,Aurora Álvarez,Universidad de Granada,Universidad de Granada,Granada,37.1894,-3.6031,"Profesora titular de antropología social en la Universidad de Granada; investiga identidad, etnicidad, migraciones y etnografía colaborativa en Tartaristán.","Associate professor of social anthropology at the University of Granada; researches identity, ethnicity, migration and collaborative ethnography in Tatarstan.",https://migraciones.ugr.es/instituto/organizacion/aurora-alvarez-veinguer,perfil en UGR,perfil en UGR,si
alba,individual,Carla Alba Pulido,Universidad de Granada,Universidad de Granada,Granada,37.1884,-3.6083,"Doctoranda en Estudios Migratorios (UGR, beca FPU); investiga métodos multimodales para la transferencia y divulgación del conocimiento antropológico.","PhD candidate in Migration Studies (UGR, FPU grant); researches multimodal methods for transferring and disseminating anthropological knowledge.",https://migraciones.ugr.es/instituto/organizacion/carla-alba-pulido,perfil en UGR,perfil en UGR,si
cuyas,individual,Juan Francisco D. Cuyás,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.3858,2.1605,"Antropólogo visual, fotógrafo y cineasta; investiga diáspora, religión y ecología política en India y Europa; autor del fotolibro Kariño.","Visual anthropologist, photographer and filmmaker; researches diaspora, religion and political ecology across India and Europe; author of photobook Kariño.",https://es.linkedin.com/in/juan-francisco-d-cuyas,perfil Linkedin,Linkedin profile,si
bernal,individual,Amanda Bernal,Universitat de Barcelona,Universitat de Barcelona,Barcelona,41.39,2.1727,"Antropóloga, fotógrafa y facilitadora visual; investiga la (des)confianza fotográfica en el proyecto Visual Trust; codirige el festival LUMÍNIC de fotografía participativa.","Anthropologist, photographer and visual facilitator; researches (dis)trust in photography for the Visual Trust project; co-directs the LUMÍNIC participatory photography festival.",https://fic.kakv.com/artista/amanda-bernal/,Perfil en Kakv,Kakv profile,si
ranocchiari,individual,Dario Ranocchiari,Universidad de Granada,Universidad de Granada,Granada,37.1858,-3.6091,"Etnógrafo y profesor de antropología social en la UGR; experimenta con audio, imagen, narrativa y performance en vivo para investigación colaborativa.","Ethnographer and social anthropology professor at UGR; experiments with audio, visuals, narrative writing and live performance for collaborative research.",https://www.darioranoc.eu,perfil personal,personal site profile,si
transmolab,group,Laboratorio de Etnografía Transmodal,Universidad de Granada,Universidad de Granada,Granada,37.1954,-3.602,"Laboratorio del Departamento de Antropología Social de la UGR dedicado a formación, investigación y difusión en torno a la etnografía multimodal.","Department of Social Anthropology lab at the UGR; focused on training, research and outreach around multimodal ethnography, open to collaborators.",https://transmolab.mystrikingly.com,página del grupo,group page,si
Sama,individual,Sara Sama,Universidad Nacional de Educación a Distancia,Universidad Nacional de Educación a Distancia,Madrid,40.4502,-3.7272,"Doctora en Antropología (UCM); investigadora en la UNED (Cultura Urbana), IP de ECOEMBEDDEDNESS; aplica técnicas audiovisuales al estudio del espacio urbano.","PhD in Anthropology (UCM); researcher at UNED (Cultura Urbana group), PI of ECOEMBEDDEDNESS; applies audiovisual methods to urban space research.",https://portalcientifico.uned.es/investigadores/185088/detalle,Perfil en UNED,Uned profile,si
AnMo,project,Antropologías Multimodales,Plataforma / red — Madrid (base provisional),Platform / network — Madrid (provisional base),Madrid,40.4379,-3.7005,"Inventario de xcol para el aprendizaje de la antropología multimodal; organiza fundamentos, extensiones, proyectos, pedagogías y trabajos estudiantiles, navegable libremente.","xcol's learning inventory for multimodal anthropology; organizes foundations, extensions, projects, pedagogies and student work into five freely browsable categories.",https://antropologiasmultimodales.org/sobre-apremia/,página del proyecto,Project page,si
FilmingLab,project,Filming Lab,Instituto de Investigación de Estudios de las Mujeres y de Género - Universidad de Granada,Instituto de Investigación de Estudios de las Mujeres y de Género - Universidad de Granada,Granada,37.1888,-3.5992,"Proyecto feminista que explora las aportaciones antropológicas al cine, mediante prácticas experimentales y colaborativas de cineastas de la industria española.","Feminist project exploring anthropology's contributions to filmmaking, through the experimental and collaborative practices of women directors in Spanish cinema.",https://filminglabs.com,página del proyecto,Project page,si
lasen,individual,Amparo Lasén,Universidad Complutense de Madrid,Universidad Complutense de Madrid,Madrid,40.399,-3.791,"Socióloga (UCM), catedrática acreditada; coordina el grupo Sociología Ordinaria; investiga cultura digital, intimidad, género, afectos y tiempos cotidianos.","Sociologist (UCM), professor accredited to full chair; leads the Sociología Ordinaria group; researches digital culture, intimacy, gender, affect and everyday temporalities.",https://produccioncientifica.ucm.es/investigadores/142163/detalle,perfil en UCM,UCM profile,si
ociologia-ordinaria,group,Sociología Ordinaria,Universidad Complutense de Madrid,Universidad Complutense de Madrid,Madrid,40.397,-3.788,"Grupo de investigación (UCM, Sociología Aplicada, 2011); estudia lo ordinario —cotidiano, banal, práctico— y sus jerarquías, con metodologías cualitativas inventivas.","Research group (UCM, Applied Sociology, since 2011); studies the ordinary — everyday, banal, practical — and its hierarchies, via inventive qualitative methods.",https://sociologiaordinaria.com,página del grupo,group page,si
Doctorade-1,phd,Doctorade,Universidad,University,Barcelona,41.39,2.161,Marcador de ejemplo para una entrada de estudiante de doctorado,Placeholder marker for a doctoral-student entry,https:sorrego.net,página de prueba,test page,si
